wave,label,symbol,session_start,session_end,vt,sl_atr,tp_atr,total_net_profit,profit_factor,total_trades,max_dd_pct,sharpe,recovery_factor,win_rate,source_path
w6,W6_atr_GBP_S1317_VT035_SL030,GBPUSD,13,17,0.35,0.3,2.0,-279.5,0.75,239,29.59,-5.0,-0.9,17.99,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p1_ebb_w6_W6_atr_GBP_S1317_VT035_SL030_20260422_072707.htm
w6,W6_atr_GBP_S1317_VT050_SL040,GBPUSD,13,17,0.5,0.4,2.0,51.71,1.14,80,6.35,11.47,0.64,27.5,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p1_ebb_w6_W6_atr_GBP_S1317_VT050_SL040_20260422_072835.htm
w7,W7_null_GBP_S0913_VT050_SL030,GBPUSD,9,13,0.5,0.3,2.0,-178.57,0.3,38,17.86,-5.0,-1.0,13.16,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p1_ebb_w7_W7_null_GBP_S0913_VT050_SL030_20260422_073618.htm
w8,W8_null_EUR_S0913_VT050_SL050,EURUSD,9,13,0.5,0.5,2.0,-24.01,0.83,27,7.94,-5.0,-0.27,22.22,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p1_ebb_w8_W8_null_EUR_S0913_VT050_SL050_20260422_074544.htm
w1,EBB_W1_VT050,EURUSD,13.0,20.0,0.5,0.5,2.0,-26.08,0.97,197,22.63,-2.89,-0.09,28.93,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p2_ebb_w1_EBB_W1_VT050_20260421_235533.htm
w2,W2_S0712_VT035,EURUSD,7,12,0.35,0.5,2.0,-324.26,0.84,516,32.43,-5.0,-1.0,29.07,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p2_ebb_w2_W2_S0712_VT035_20260422_001420.htm
w2,W2_S0820_VT050,EURUSD,8,20,0.5,0.5,2.0,-8.26,0.99,323,28.06,-0.54,-0.02,29.72,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p2_ebb_w2_W2_S0820_VT050_20260422_002123.htm
w2,W2_S1317_VT020,EURUSD,13,17,0.2,0.5,2.0,-997.73,0.87,3307,99.82,-5.0,-0.77,27.21,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p2_ebb_w2_W2_S1317_VT020_20260422_001538.htm
w2,W2_S1317_VT100,EURUSD,13,17,1.0,0.5,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p2_ebb_w2_W2_S1317_VT100_20260422_001656.htm
w2,W2_S1421_VT070,EURUSD,14,21,0.7,0.5,2.0,75.6,2.1,18,4.19,44.69,1.47,38.89,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p2_ebb_w2_W2_S1421_VT070_20260422_001845.htm
